Configuration,AdaptiveOperators,LocalNLP,BestTAC,MedianTAC,MeanTAC,MeanGapPercent,MedianGapPercent,FeasibilityRatePercent,TopologyRecoveryRatePercent,SuccessRatePercent,MedianEvaluations,MedianRuntimeSeconds
Basic,0,0,22306.5890937601,23667.669168714,23818.9019314344,7.48237636177524,6.79994117782992,100,10,0,14658.5,2.565872
Adaptive,1,0,22272.1615093102,23626.3929763213,23549.3097360329,6.26584631795711,6.61368308506411,100,5,0,14655.5,5.5455211
LocalNLP,0,1,22230.7051742497,22649.0750085597,22902.8940329298,3.3489068180974,2.20355293135401,100,40,25,16988.5,57.4483974
Full,1,1,22220.8946500945,22637.1038264034,22736.2047252712,2.596724246759,2.14953318226049,100,40,35,17024,64.89082485
