reactor,separator,recycle,TAC,violation,feasible,product
CSTR,Flash,0,44691.7027885087,0.806824547710009,0,44.3225336247695
CSTR,Flash,1,24458.8912707162,0,1,75
CSTR,Distillation,0,66474.3175694907,0.758647961260971,0,47.935777614675
CSTR,Distillation,1,24350.1448894604,0,1,75
PFR,Flash,0,44816.9094069912,0.500870302065981,0,55.6877249838209
PFR,Flash,1,22160.75112748,2.13411036990389e-10,1,74.9999999839942
PFR,Distillation,0,55730.3497389885,0.468900357669444,0,58.0854708082973
PFR,Distillation,1,22584.7952225491,0,1,75.0000000000002
